"Category","token_decoded"
"Agency","accuracy"
"Communion","affection"
"Communion","affinity"
"Communion","aid"
"Communion","allegiant"
"Communion","alliance"
"Communion","alliances"
"Communion","allies"
"Communion","ally"
"Communion","altruism"
"Agency","ambition"
"Agency","ambitions"
"Communion","amigo"
"Communion","amigos"
"Agency","aptitude"
"Communion","buddies"
"Communion","buddy"
"Agency","capability"
"Agency","capabilities"
"Communion","care"
"Communion","ceremony"
"Communion","ceremonies"
"Communion","charity"
"Communion","charities"
"Communion","chat"
"Communion","chats"
"Agency","choice"
"Agency","choices"
"Communion","civility"
"Communion","civilian"
"Communion","civilians"
"Agency","cleverness"
"Communion","closeness"
"Communion","collaboration"
"Communion","colleague"
"Communion","colleagues"
"Communion","collectivity"
"Communion","common good"
"Communion","common ground"
"Communion","communication"
"Communion","communications"
"Communion","companion"
"Communion","companions"
"Communion","compassion"
"Agency","competition"
"Agency","completion"
"Communion","compromise"
"Communion","compromises"
"Communion","concert"
"Communion","concerts"
"Communion","conference"
"Communion","conferences"
"Agency","confidence"
"Communion","consideration"
"Agency","contest"
"Agency","contests"
"Communion","contribution"
"Communion","contributions"
"Communion","conversation"
"Communion","conversations"
"Communion","cooperation"
"Communion","counsel"
"Communion","crew"
"Agency","decision"
"Agency","decisions"
"Agency","defeat"
"Communion","democracy"
"Communion","democrat"
"Communion","democrats"
"Agency","determination"
"Communion","dialogue"
"Communion","dialogues"
"Agency","easiness"
"Communion","education"
"Agency","effort"
"Agency","efforts"
"Communion","empathy"
"Agency","endeavor"
"Agency","endeavors"
"Agency","establishment"
"Agency","expert"
"Agency","experts"
"Agency","expertise"
"Agency","failure"
"Agency","failures"
"Communion","families"
"Communion","family"
"Communion","fellow"
"Communion","fellows"
"Communion","forgiveness"
"Communion","fraternity"
"Communion","fraternities"
"Agency","freedom"
"Communion","friend"
"Communion","friends"
"Communion","friendship"
"Communion","friendships"
"Communion","generosity"
"Agency","goal"
"Agency","goals"
"Communion","gratitude"
"Communion","group"
"Communion","groups"
"Communion","guidance"
"Communion","guide"
"Communion","guides"
"Communion","harmony"
"Communion","help"
"Communion","hospitality"
"Communion","human"
"Communion","humans"
"Communion","impartiality"
"Agency","importance"
"Communion","inclusion"
"Agency","independence"
"Agency","individualist"
"Agency","insight"
"Agency","insights"
"Agency","intent"
"Agency","intention"
"Agency","intentions"
"Agency","intuition"
"Communion","justice"
"Agency","keenness"
"Communion","kin"
"Communion","kindness"
"Communion","kinship"
"Communion","law"
"Communion","laws"
"Communion","learner"
"Communion","learners"
"Agency","liberties"
"Agency","liberty"
"Agency","logic"
"Agency","loner"
"Communion","love"
"Communion","marriage"
"Communion","marriages"
"Agency","master"
"Agency","masters"
"Agency","mastery"
"Communion","matrimony"
"Communion","member"
"Communion","members"
"Communion","middle ground"
"Agency","motivation"
"Communion","neighbor"
"Communion","neighbors"
"Agency","objective"
"Agency","objectives"
"Agency","objectivity"
"Agency","opportunity"
"Agency","opportunities"
"Communion","pal"
"Communion","pals"
"Communion","participant"
"Communion","participants"
"Communion","participation"
"Communion","partner"
"Communion","partners"
"Communion","partnership"
"Communion","partnerships"
"Communion","party"
"Communion","parties"
"Agency","persistence"
"Communion","philanthropy"
"Agency","pioneer"
"Agency","pioneers"
"Communion","pluralism"
"Communion","politeness"
"Agency","practice"
"Agency","practices"
"Agency","pride"
"Agency","priority"
"Agency","priorities"
"Agency","productivity"
"Agency","prosperity"
"Communion","public"
"Agency","purpose"
"Agency","purposes"
"Agency","rationality"
"Agency","rebellion"
"Communion","reciprocity"
"Communion","relationship"
"Communion","relationships"
"Agency","reliability"
"Agency","reputation"
"Agency","reputations"
"Communion","request"
"Communion","requests"
"Agency","resilience"
"Agency","resolution"
"Agency","responsibility"
"Agency","responsibilities"
"Agency","reward"
"Agency","rewards"
"Agency","risk"
"Agency","risks"
"Communion","ritual"
"Communion","rituals"
"Communion","roommate"
"Communion","roommates"
"Communion","sacrifice"
"Communion","sacrifices"
"Agency","self"
"Agency","self-control"
"Agency","self-respect"
"Communion","selflessness"
"Communion","service"
"Communion","services"
"Agency","significance"
"Communion","sincerity"
"Agency","skill"
"Agency","skills"
"Communion","society"
"Communion","societies"
"Communion","solidarity"
"Communion","sorority"
"Communion","sororities"
"Communion","squad"
"Agency","struggle"
"Agency","struggles"
"Agency","success"
"Agency","successes"
"Communion","support"
"Communion","sympathy"
"Communion","teacher"
"Communion","teachers"
"Communion","team"
"Communion","teams"
"Communion","teamwork"
"Agency","tenacity"
"Agency","thought"
"Agency","thinker"
"Communion","tradition"
"Communion","traditions"
"Communion","treatise"
"Communion","treatises"
"Communion","treaty"
"Communion","tribe"
"Communion","tribes"
"Agency","triumph"
"Agency","triumphs"
"Communion","trust"
"Communion","trustworthiness"
"Communion","truth"
"Communion","truths"
"Communion","truthfulness"
"Communion","unanimity"
"Communion","unity"
"Communion","unselfishness"
"Agency","victor"
"Agency","victors"
"Agency","victory"
"Agency","victories"
"Communion","volunteer"
"Communion","volunteers"
"Communion","welfare"
"Agency","willpower"
"Agency","winner"
"Agency","winners"
"Agency","wit"
"Agency","wits"
